branch,client_id,region,first_purchase,orders_count,payment_sum
NW,376,Республика Коми,2013-08-08,0,0.00
SO,373,Волгоградская область,2012-30-11,4,57016.33
UR,386,Свердловская область,2010-28-02,9,164492.99
NW,377,Ненецкий автономный округ,2011-21-05,23,44162.11
SO,374,Краснодарский край,2016-20-03,4,48919.46
UR,387,Тюменская область,2011-04-01,5,109344.84
UR,388,Ямало-Ненецкий автономный округ,2014-25-09,8,204545.18
UR,389,Свердловская область,2013-16-09,2,37199.93
FE,378,Магаданская область,2010-15-11,8,102931.40
SB,395,Омская область,2011-10-02,12,25640.56
FE,379,Республика Саха (Якутия),2016-13-03,18,60277.70
FE,380,Приморский край,2014-30-03,10,56084.67
CE,377,Тамбовская область,2013-12-03,4,78911.99
FE,381,Хабаровский край,2014-21-08,11,217508.49
CE,378,Липецкая область,2012-11-07,3,116358.06
NK,385,Республика Дагестан,2011-19-01,7,4247.42
CE,379,Орловская область,2015-01-04,22,47597.09
NW,378,Санкт-Петербург,2011-29-01,14,60415.14
SO,375,Республика Калмыкия,2016-16-06,25,86082.47
SO,376,Республика Адыгея,2014-17-10,2,32116.49
SO,377,Республика Адыгея,2015-17-08,2,38279.28
SO,378,Волгоградская область,2014-29-07,21,608753.99
VG,397,Удмуртская Республика,2012-24-12,14,281478.05
VG,398,Оренбургская область,2010-08-07,1,215.34
UR,390,Ханты-Мансийский автономный округ,2012-12-12,17,235768.62
VG,399,Пензенская область,2013-16-01,18,167834.98
UR,391,Курганская область,2014-16-11,15,116946.42
FE,382,Амурская область,2011-22-10,18,175416.99
VG,400,Самарская область,2016-12-03,6,68165.57
CE,380,Рязанская область,2010-30-04,4,117439.24
VG,401,Ульяновская область,2012-18-03,10,69734.99
SO,379,Астраханская область,2014-14-08,6,56109.86
SO,380,Волгоградская область,2012-07-09,23,67755.80
VG,402,Саратовская область,2015-20-08,16,347104.51
VG,403,Самарская область,2015-17-05,6,115862.02
CE,381,Тверская область,2010-22-11,13,151085.94
VG,404,Республика Татарстан,2014-16-03,14,69020.39
CE,382,Тверская область,2015-26-07,12,41211.12
CE,383,Воронежская область,2015-19-02,20,442179.71
SO,381,Республика Адыгея,2013-29-08,12,178076.18
VG,405,Республика Башкортостан,2015-17-09,21,290263.82
NW,379,Санкт-Петербург,2016-24-05,23,420355.79
CE,384,Тверская область,2012-11-02,3,101514.65
CE,385,Ярославская область,2014-10-09,18,20609.64
UR,392,Тюменская область,2011-13-09,22,382535.99
NK,386,Республика Дагестан,2012-24-03,24,709093.80
VG,406,Чувашская Республика,2015-08-07,14,263176.38
VG,407,Ульяновская область,2013-13-09,9,215148.10
FE,383,Еврейская автономная область,2011-12-03,9,136285.10
VG,408,Республика Мордовия,2014-09-03,22,88829.82
FE,384,Еврейская автономная область,2016-12-05,10,96602.45
VG,409,Нижегородская область,2012-03-11,4,37996.43
VG,410,Самарская область,2012-11-06,22,179672.71
SB,396,Красноярский край,2013-06-01,3,79081.21
FE,385,Сахалинская область,2013-10-09,12,551767.71
SB,397,Кемеровская область,2013-13-04,3,5854.00
UR,393,Ханты-Мансийский автономный округ,2015-18-08,23,602015.69
UR,394,Ямало-Ненецкий автономный округ,2016-18-03,15,12325.07
SO,382,Севастополь,2011-20-01,17,602561.02
NK,387,Республика Дагестан,2012-10-08,19,80850.22
CE,386,Калужская область,2014-01-12,8,123483.69
VG,411,Нижегородская область,2013-24-05,10,92644.77
NW,380,Псковская область,2012-16-12,8,106829.96
NK,388,Ставропольский край,2015-13-12,4,38359.46
NW,381,Республика Карелия,2011-25-12,31,714250.24
NK,389,Чеченская Республика,2012-27-05,15,80782.77
SB,398,Республика Алтай,2014-05-05,10,240326.70
SB,399,Республика Бурятия,2014-04-10,9,32583.69
NK,390,Республика Северная Осетия,2012-14-02,17,9166.87
SB,400,Красноярский край,2011-02-06,11,127570.11
SB,401,Республика Тыва,2014-12-02,33,449354.37
SB,402,Республика Хакасия,2010-19-02,21,273143.06
VG,412,Республика Татарстан,2015-01-05,2,92918.13
UR,395,Ханты-Мансийский автономный округ,2016-15-02,3,66350.89
CE,387,Ивановская область,2012-01-11,19,320819.05
SB,403,Кемеровская область,2013-18-03,5,21346.04
SO,383,Волгоградская область,2013-29-06,21,347356.23
FE,386,Республика Саха (Якутия),2010-27-10,18,153673.62
NK,391,Республика Северная Осетия,2013-11-08,20,569151.56
SO,384,Республика Крым,2011-09-07,29,1457970.11
CE,388,Тульская область,2013-18-12,16,281265.50
SB,404,Забайкальский край,2011-24-08,8,42259.60
FE,387,Республика Саха (Якутия),2013-07-03,15,307755.44
SB,405,Республика Алтай,2010-15-02,6,61793.71
FE,388,Приморский край,2014-21-07,6,19971.35
VG,413,Оренбургская область,2015-18-02,16,159059.82
SO,385,Республика Крым,2015-15-03,7,151605.51
VG,414,Самарская область,2012-29-01,13,168126.45
NK,392,Карачаево-Черкесская Республика,2011-13-06,11,226017.08
FE,389,Республика Саха (Якутия),2013-04-12,2,909.32
NK,393,Кабардино-Балкарская Республика,2014-11-05,22,271263.32
SB,406,Республика Алтай,2016-10-02,7,170570.23
NW,382,Ненецкий автономный округ,2016-02-04,2,109749.91
SO,386,Волгоградская область,2016-27-01,6,91632.50
SO,387,Краснодарский край,2011-31-05,19,422865.76
NK,394,Чеченская Республика,2015-25-08,12,288000.51
SO,388,Севастополь,2014-27-11,8,129177.55
SB,407,Красноярский край,2014-29-04,5,15510.94
NK,395,Ставропольский край,2011-28-08,8,152187.38
NW,383,Мурманская область,2015-10-09,17,349610.05
VG,415,Удмуртская Республика,2012-10-12,21,333271.31
NK,396,Республика Ингушетия,2013-01-05,14,312709.32
UR,396,Ямало-Ненецкий автономный округ,2010-10-02,22,662898.86
SB,408,Иркутская область,2010-03-07,23,92378.66
VG,416,Республика Башкортостан,2014-26-12,16,87186.25
SO,389,Астраханская область,2010-01-08,7,4451.28
FE,390,Камчатский край,2011-13-11,24,498516.69
NK,397,Республика Северная Осетия,2015-13-04,25,103355.07
SO,390,Республика Адыгея,2013-25-02,6,778.70
NK,398,Республика Северная Осетия,2015-07-08,6,129465.19
UR,397,Ханты-Мансийский автономный округ,2012-26-11,8,105172.33
VG,417,Самарская область,2012-10-03,0,0.00
SO,391,Республика Крым,2015-08-09,13,19842.04
UR,398,Ямало-Ненецкий автономный округ,2016-17-05,27,1193964.63
FE,391,Чукотский автономный округ,2014-31-07,3,61289.85
VG,418,Пензенская область,2012-19-03,23,115285.45
SO,392,Волгоградская область,2014-11-08,10,385974.36
CE,389,Брянская область,2016-16-07,13,486371.35
CE,390,Курская область,2014-28-08,6,104573.28
VG,419,Республика Марий Эл,2014-05-05,17,224510.56
FE,392,Камчатский край,2012-03-04,9,67081.92
SB,409,Кемеровская область,2015-25-10,19,552622.45
NW,384,Ленинградская область,2014-26-02,4,4882.56
VG,420,Кировская область,2014-14-01,19,560781.79
UR,399,Челябинская область,2015-11-03,1,5336.99
CE,391,Калужская область,2011-28-12,17,28984.74
NK,399,Карачаево-Черкесская Республика,2012-23-09,20,370078.59
SO,393,Республика Калмыкия,2012-07-10,9,239714.99
VG,421,Удмуртская Республика,2014-03-12,14,34081.89
FE,393,Хабаровский край,2013-30-01,23,284326.66
CE,392,Курская область,2012-21-08,4,32882.39
VG,422,Самарская область,2012-18-11,11,115683.95
NW,385,Мурманская область,2010-23-12,10,36176.06
NK,400,Чеченская Республика,2011-29-01,18,497600.31
SO,394,Республика Адыгея,2016-14-05,10,186325.91
NK,401,Республика Ингушетия,2013-04-03,7,47401.60
NK,402,Карачаево-Черкесская Республика,2014-26-06,14,279409.81
NK,403,Республика Северная Осетия,2013-08-04,12,242286.06
CE,393,Липецкая область,2011-26-11,3,73871.39
SB,410,Томская область,2014-01-08,18,65543.21
NK,404,Чеченская Республика,2015-26-09,13,88444.62
VG,423,Удмуртская Республика,2013-29-08,10,299492.66
NW,386,Республика Карелия,2010-29-04,10,210253.98
CE,394,Курская область,2015-14-07,1,27787.18
SO,395,Астраханская область,2013-24-10,4,91275.83
NW,387,Ненецкий автономный округ,2014-06-01,9,374620.68
NK,405,Карачаево-Черкесская Республика,2010-08-12,7,208920.29
SO,396,Волгоградская область,2011-13-04,15,50591.10
SB,411,Забайкальский край,2011-04-01,14,7190.06
NK,406,Ставропольский край,2013-13-12,1,17077.06
FE,394,Еврейская автономная область,2015-02-02,9,99007.85
NW,388,Новгородская область,2010-27-04,6,17061.24
SB,412,Алтайский край,2012-24-04,26,402060.64
UR,400,Тюменская область,2014-24-09,5,144563.71
UR,401,Свердловская область,2010-02-03,9,258780.14
NK,407,Ставропольский край,2011-20-01,4,47440.31
SB,413,Красноярский край,2011-19-03,22,13167.07
VG,424,Ульяновская область,2014-24-11,23,490067.68
FE,395,Республика Саха (Якутия),2011-11-12,2,39804.09
UR,402,Курганская область,2015-05-11,11,280750.59
UR,403,Ямало-Ненецкий автономный округ,2012-11-10,12,116862.26
CE,395,Тверская область,2012-13-06,9,130127.19
SO,397,Волгоградская область,2012-17-06,10,231094.04
SB,414,Томская область,2015-12-04,11,142125.63
NK,408,Республика Ингушетия,2011-21-02,11,215956.27
NK,409,Чеченская Республика,2013-28-02,27,701117.52
CE,396,Рязанская область,2015-09-11,6,113618.58
SB,415,Республика Тыва,2016-22-02,13,100655.80
SB,416,Алтайский край,2016-05-01,12,297963.54
SB,417,Красноярский край,2015-24-12,5,15456.37
NW,389,Ленинградская область,2014-06-03,8,54181.58
UR,404,Ямало-Ненецкий автономный округ,2015-02-01,18,11097.40
UR,405,Ханты-Мансийский автономный округ,2013-01-02,14,159594.44
CE,397,Тульская область,2016-25-04,17,516356.12
CE,398,Рязанская область,2012-20-05,6,131164.43
FE,396,Сахалинская область,2011-04-07,20,248505.46
NK,410,Республика Дагестан,2011-29-12,19,256326.73
FE,397,Еврейская автономная область,2011-02-10,13,183778.48
NK,411,Республика Северная Осетия,2014-05-11,8,22325.96
SO,398,Ростовская область,2010-02-11,3,2760.68
UR,406,Курганская область,2015-17-12,14,4303.97
FE,398,Сахалинская область,2013-08-09,8,114026.82
NK,412,Республика Ингушетия,2014-10-12,1,22604.76
CE,399,Брянская область,2013-24-05,13,343240.45
NK,413,Республика Северная Осетия,2013-24-09,4,1184.07
VG,425,Республика Башкортостан,2010-30-01,7,96380.19
SB,418,Кемеровская область,2016-12-01,16,528517.14
NW,390,Санкт-Петербург,2013-09-01,18,553925.04
NW,391,Ненецкий автономный округ,2014-18-09,21,67127.69
SO,399,Республика Калмыкия,2010-18-01,9,198446.76
UR,407,Ханты-Мансийский автономный округ,2014-17-01,0,0.00
FE,399,Еврейская автономная область,2011-21-09,5,3891.28
VG,426,Республика Татарстан,2014-01-06,9,74208.63
NK,414,Республика Ингушетия,2012-12-02,12,303561.23
FE,400,Еврейская автономная область,2010-08-04,1,28092.89
UR,408,Тюменская область,2011-03-09,1,16418.12
NK,415,Республика Дагестан,2012-23-04,6,31740.76
VG,427,Республика Башкортостан,2013-11-01,5,84338.35
SO,400,Республика Адыгея,2013-11-09,11,1227.50
UR,409,Курганская область,2012-17-03,36,648796.57
SB,419,Забайкальский край,2015-07-05,7,102374.14
CE,400,Брянская область,2013-23-04,9,46182.18
SO,401,Краснодарский край,2012-26-07,16,264779.16
VG,428,Республика Башкортостан,2010-09-05,2,47121.61
FE,401,Республика Саха (Якутия),2010-17-10,1,39571.30
NW,392,Псковская область,2015-24-10,13,345729.74
UR,410,Тюменская область,2010-25-02,21,318007.84
NW,393,Мурманская область,2010-02-06,19,763957.28
CE,401,Тамбовская область,2016-11-07,6,29183.83
CE,402,Московская область,2014-02-09,23,531183.18
VG,429,Чувашская Республика,2013-03-12,5,101575.85
NK,416,Республика Ингушетия,2011-16-12,24,367268.82
VG,430,Республика Мордовия,2016-25-06,33,348470.46
CE,403,Белгородская область,2012-24-07,1,10655.80
CE,404,Смоленская область,2014-12-03,5,120143.85
FE,402,Чукотский автономный округ,2013-02-09,15,341279.55
SB,420,Забайкальский край,2011-14-04,6,92538.70
NK,417,Чеченская Республика,2010-28-10,15,14078.01
UR,411,Ямало-Ненецкий автономный округ,2011-30-10,14,124966.50
VG,431,Удмуртская Республика,2010-10-11,17,488277.97
VG,432,Республика Марий Эл,2013-05-12,9,93672.69
SB,421,Иркутская область,2013-02-12,4,52704.46
NW,394,Вологодская область,2012-11-11,9,88375.63
SO,402,Краснодарский край,2014-11-07,19,486032.57
NK,418,Республика Ингушетия,2012-24-07,19,53624.23
CE,405,Белгородская область,2015-06-10,13,175311.82
VG,433,Самарская область,2015-12-05,5,65651.49
VG,434,Кировская область,2014-12-07,4,101251.16
FE,403,Чукотский автономный округ,2010-06-04,15,21060.79
SB,422,Республика Тыва,2011-05-07,16,116576.04
SO,403,Республика Калмыкия,2015-02-08,1,23252.64
NK,419,Республика Дагестан,2014-04-09,13,416811.81
FE,404,Республика Саха (Якутия),2010-28-08,14,466381.14
NW,395,Новгородская область,2010-01-04,6,134360.72
NK,420,Республика Дагестан,2010-28-08,1,19869.11
NW,396,Мурманская область,2011-19-07,21,71604.25
VG,435,Пермский край,2012-10-08,4,7290.56
VG,436,Республика Мордовия,2011-18-07,17,130512.55
FE,405,Хабаровский край,2014-28-01,3,40303.52
NW,397,Мурманская область,2013-14-01,16,70477.22
NW,398,Новгородская область,2015-09-09,11,320126.11
NW,399,Новгородская область,2011-30-06,9,147073.71
NK,421,Ставропольский край,2013-29-08,2,64317.70
UR,412,Свердловская область,2010-19-11,15,73083.92
CE,406,Курская область,2016-17-04,11,192022.08
SB,423,Томская область,2010-25-09,18,280841.15
UR,413,Челябинская область,2012-10-12,10,41134.68
UR,414,Челябинская область,2013-31-01,18,639552.58
SB,424,Республика Алтай,2012-09-12,15,300696.29
FE,406,Хабаровский край,2012-29-12,7,14635.77
NW,400,Новгородская область,2016-26-05,17,82668.47
SB,425,Омская область,2011-23-12,6,98773.52
NW,401,Новгородская область,2015-19-11,4,15908.36
SO,404,Севастополь,2016-16-03,8,441357.60
FE,407,Хабаровский край,2010-08-04,2,15966.34
NW,402,Ленинградская область,2013-27-01,10,23162.70
SO,405,Астраханская область,2012-21-04,7,163448.08
SO,406,Севастополь,2014-26-01,18,267175.39
CE,407,Тверская область,2014-25-10,18,146284.15
NW,403,Калининградская область,2012-16-01,4,175170.57
UR,415,Челябинская область,2015-20-03,1,16720.58
VG,437,Самарская область,2011-16-11,12,420103.20
UR,416,Курганская область,2014-08-05,23,510788.74
SO,407,Ростовская область,2014-17-05,14,188539.71
NW,404,Санкт-Петербург,2012-10-01,20,177913.93
VG,438,Самарская область,2012-11-10,30,1097244.06
UR,417,Ханты-Мансийский автономный округ,2013-29-01,10,9263.75
UR,418,Свердловская область,2015-22-05,25,1312606.83
SB,426,Новосибирская область,2012-31-03,19,176271.14
FE,408,Приморский край,2013-27-01,1,25852.22
VG,439,Ульяновская область,2014-17-11,9,206915.78
UR,419,Челябинская область,2013-22-09,19,203855.57
VG,440,Ульяновская область,2014-05-06,8,271320.33
FE,409,Камчатский край,2014-20-11,22,27244.97
SB,427,Новосибирская область,2012-25-02,15,108926.08
CE,408,Курская область,2011-09-06,7,5900.11
FE,410,Амурская область,2015-30-09,19,441235.94
SB,428,Республика Тыва,2011-12-03,2,17823.51
UR,420,Ямало-Ненецкий автономный округ,2012-25-08,5,7234.50
VG,441,Кировская область,2012-05-11,24,122926.72
FE,411,Хабаровский край,2012-16-12,3,61464.10
CE,409,Курская область,2012-02-03,21,391140.78
NW,405,Республика Коми,2011-04-04,14,150181.57
VG,442,Пермский край,2010-10-03,18,515647.92
UR,421,Челябинская область,2014-12-09,0,0.00
SB,429,Иркутская область,2015-23-10,26,283629.64
CE,410,Орловская область,2016-06-07,13,439281.76
FE,412,Республика Саха (Якутия),2016-23-05,8,17422.97
NW,406,Республика Коми,2014-23-08,5,16219.85
FE,413,Амурская область,2016-13-05,18,191282.72
NK,422,Кабардино-Балкарская Республика,2011-23-01,1,22292.66
CE,411,Смоленская область,2016-08-04,17,285156.05
UR,422,Челябинская область,2015-28-05,5,169562.94
SB,430,Новосибирская область,2015-09-02,20,97593.28
SO,408,Республика Калмыкия,2010-30-07,0,0.00
VG,443,Оренбургская область,2011-31-01,21,1202792.77
CE,412,Ярославская область,2016-31-03,14,456193.75
NW,407,Ленинградская область,2010-22-03,18,274073.27
SB,431,Кемеровская область,2013-27-05,11,398359.39
FE,414,Хабаровский край,2014-11-06,8,265282.40
NW,408,Ненецкий автономный округ,2015-02-11,10,246390.22
FE,415,Чукотский автономный округ,2014-22-05,22,395423.34
VG,444,Республика Башкортостан,2014-05-07,12,687.54
SB,432,Республика Хакасия,2013-14-03,5,13338.75
NK,423,Республика Дагестан,2014-21-05,10,147770.76
VG,445,Оренбургская область,2015-22-11,4,60216.75
SB,433,Томская область,2012-08-07,9,162684.95
SO,409,Астраханская область,2010-23-05,21,513755.69
NW,409,Ленинградская область,2014-22-08,23,471266.23
NK,424,Чеченская Республика,2014-21-01,33,662639.52
CE,413,Костромская область,2012-21-11,7,160868.78
NW,410,Новгородская область,2015-08-12,24,368653.39
NK,425,Чеченская Республика,2012-20-03,3,100945.65
NK,426,Чеченская Республика,2010-25-06,15,270593.17
CE,414,Тамбовская область,2014-02-01,8,115617.49
NW,411,Вологодская область,2013-27-10,5,162438.14
SO,410,Волгоградская область,2016-11-01,6,95380.04
FE,416,Амурская область,2011-28-05,33,74719.47
SO,411,Волгоградская область,2011-31-10,7,122575.82
FE,417,Республика Саха (Якутия),2012-27-07,18,368621.25
FE,418,Еврейская автономная область,2013-27-10,6,116079.58
CE,415,Липецкая область,2010-30-04,7,69890.86
UR,423,Ямало-Ненецкий автономный округ,2012-17-06,12,245116.42
FE,419,Приморский край,2014-04-03,16,165906.10
VG,446,Республика Марий Эл,2011-18-09,1,6229.03
SO,412,Республика Крым,2013-30-11,17,105776.44
NK,427,Чеченская Республика,2014-15-08,19,159729.28
NW,412,Вологодская область,2014-20-06,16,339470.36
VG,447,Республика Марий Эл,2010-05-10,21,505616.56
SO,413,Республика Крым,2010-19-11,6,48814.92
NK,428,Республика Дагестан,2014-08-04,2,5796.34
UR,424,Челябинская область,2012-09-03,4,61494.63
SO,414,Астраханская область,2016-15-03,8,114415.47
NW,413,Ленинградская область,2011-03-07,5,176347.85
CE,416,Орловская область,2015-20-02,32,299075.57
VG,448,Республика Татарстан,2013-31-08,5,12134.08
UR,425,Ямало-Ненецкий автономный округ,2012-25-10,5,14614.46
FE,420,Республика Саха (Якутия),2010-05-02,6,90934.46
UR,426,Курганская область,2012-08-11,11,23513.76
SO,415,Республика Адыгея,2015-13-02,20,163643.64
NW,414,Санкт-Петербург,2013-14-09,16,193884.47
SO,416,Астраханская область,2014-05-04,3,65678.67
SO,417,Астраханская область,2013-09-08,11,117050.11
NK,429,Карачаево-Черкесская Республика,2012-19-12,7,262043.04
NK,430,Ставропольский край,2010-17-08,3,52966.51
SB,434,Республика Бурятия,2010-27-08,9,333619.22
NK,431,Карачаево-Черкесская Республика,2013-08-01,10,446337.32
UR,427,Курганская область,2016-31-01,9,354171.69
NW,415,Новгородская область,2012-14-12,11,86029.05
CE,417,Ярославская область,2014-07-11,17,48584.44
VG,449,Чувашская Республика,2010-18-08,14,29035.28
NW,416,Санкт-Петербург,2016-31-05,5,42310.86
NK,432,Кабардино-Балкарская Республика,2016-11-06,6,52650.01
FE,421,Приморский край,2015-22-04,21,366035.62
UR,428,Ямало-Ненецкий автономный округ,2014-02-04,10,292553.11
CE,418,Ярославская область,2012-13-04,1,4492.97
SB,435,Иркутская область,2013-22-04,16,45774.19
NW,417,Новгородская область,2010-10-01,11,70277.37
CE,419,Тульская область,2015-09-02,4,109462.95
SO,418,Республика Крым,2014-17-09,5,57062.12
SB,436,Омская область,2010-18-07,4,25398.01
UR,429,Свердловская область,2013-08-10,21,56884.59
CE,420,Липецкая область,2014-05-08,14,51889.56
NW,418,Республика Карелия,2012-24-10,22,497162.99
UR,430,Ханты-Мансийский автономный округ,2011-24-08,5,69241.77
CE,421,Тамбовская область,2014-30-06,16,32795.97
SO,419,Ростовская область,2015-29-07,13,249958.62
SO,420,Астраханская область,2010-23-08,12,148922.25
NK,433,Республика Дагестан,2016-24-05,0,0.00
SO,421,Ростовская область,2014-08-07,26,671977.54
SO,422,Ростовская область,2016-18-06,17,351188.03
UR,431,Ханты-Мансийский автономный округ,2010-04-10,12,218805.76
UR,432,Челябинская область,2012-23-12,19,297572.42
VG,450,Республика Марий Эл,2010-18-07,9,45006.47
NK,434,Карачаево-Черкесская Республика,2013-07-05,10,328365.28
SO,423,Краснодарский край,2013-12-09,22,376240.99
SB,437,Томская область,2012-05-10,11,50411.63
FE,422,Республика Саха (Якутия),2014-30-03,19,166107.64
VG,451,Саратовская область,2011-29-03,7,118786.64
UR,433,Свердловская область,2016-20-02,8,38018.30
SB,438,Республика Хакасия,2011-25-12,31,278537.78
UR,434,Ханты-Мансийский автономный округ,2013-24-12,27,233007.90
NW,419,Республика Карелия,2010-11-12,2,38961.93
NW,420,Ленинградская область,2015-21-02,14,495256.25
FE,423,Хабаровский край,2012-14-10,12,457601.75
NK,435,Карачаево-Черкесская Республика,2011-20-11,21,496664.71
SO,424,Республика Адыгея,2014-06-07,10,118687.18
FE,424,Приморский край,2014-27-01,9,81466.61
CE,422,Брянская область,2011-25-11,11,74166.44
UR,435,Тюменская область,2011-22-09,35,614172.64
SB,439,Томская область,2016-07-07,33,682385.52
SO,425,Республика Крым,2011-15-07,7,4740.94
VG,452,Чувашская Республика,2010-11-01,6,141310.94
FE,425,Хабаровский край,2012-20-05,4,77657.43
NK,436,Чеченская Республика,2015-06-07,12,216790.23
UR,436,Ямало-Ненецкий автономный округ,2012-09-10,6,356825.24
SB,440,Республика Алтай,2014-09-09,14,285659.46
UR,437,Ханты-Мансийский автономный округ,2016-10-02,15,33331.88
CE,423,Смоленская область,2015-02-10,3,45243.77
FE,426,Камчатский край,2014-16-04,3,577.48
NK,437,Ставропольский край,2012-07-08,15,218816.55
SO,426,Волгоградская область,2014-23-07,5,84963.03
NW,421,Ненецкий автономный округ,2010-22-04,10,425438.26
SO,427,Республика Калмыкия,2011-17-11,7,76352.10
UR,438,Свердловская область,2015-10-07,6,105479.25
NW,422,Ленинградская область,2010-30-09,15,282738.85
VG,453,Саратовская область,2015-30-04,9,12352.87
NW,423,Санкт-Петербург,2014-14-11,14,91676.84
SO,428,Волгоградская область,2011-08-01,23,495082.44
FE,427,Магаданская область,2010-09-09,4,66676.80
SB,441,Алтайский край,2012-26-04,6,6934.62
FE,428,Магаданская область,2014-22-12,8,218731.69
UR,439,Курганская область,2014-23-11,12,196422.34
NW,424,Санкт-Петербург,2012-18-06,25,614616.46
CE,424,Рязанская область,2014-26-06,7,33806.42
CE,425,Орловская область,2013-04-10,0,0.00
FE,429,Камчатский край,2016-01-06,8,144423.18
SB,442,Республика Бурятия,2016-04-08,1,1767.39
CE,426,Брянская область,2014-12-10,17,553631.40
FE,430,Хабаровский край,2014-13-07,5,74595.97
VG,454,Самарская область,2015-01-12,1,13049.73
NK,438,Республика Ингушетия,2013-19-09,13,582120.66
NK,439,Республика Ингушетия,2013-22-07,18,163994.77
UR,440,Курганская область,2011-01-06,11,98770.95
VG,455,Республика Мордовия,2015-27-08,18,449812.21
FE,431,Амурская область,2010-20-08,9,345720.15
VG,456,Республика Мордовия,2016-30-04,22,190765.86
UR,441,Ямало-Ненецкий автономный округ,2010-26-01,19,297387.14
SO,429,Краснодарский край,2015-29-07,24,116159.71
SO,430,Астраханская область,2015-21-10,10,75187.79
CE,427,Ивановская область,2011-29-05,11,105289.86
UR,442,Ханты-Мансийский автономный округ,2010-16-09,3,60732.48
FE,432,Амурская область,2012-02-07,33,296436.36
UR,443,Ямало-Ненецкий автономный округ,2013-30-07,15,201190.31
SO,431,Ростовская область,2015-27-04,3,10816.54
VG,457,Оренбургская область,2010-03-09,12,445146.72
CE,428,Рязанская область,2015-06-12,9,136639.74
SB,443,Республика Хакасия,2015-02-01,2,6595.60
UR,444,Челябинская область,2014-11-05,7,181244.61
CE,429,Москва,2011-17-12,5,19567.74
NK,440,Республика Дагестан,2010-09-09,15,38998.52
FE,433,Амурская область,2011-05-07,18,47579.13
FE,434,Республика Саха (Якутия),2015-06-07,6,68185.28
SB,444,Республика Хакасия,2012-23-09,12,86331.67
NK,441,Кабардино-Балкарская Республика,2016-03-01,11,303603.54
UR,445,Свердловская область,2014-03-10,6,46483.59
FE,435,Чукотский автономный округ,2015-15-11,18,123623.01
UR,446,Курганская область,2012-01-04,4,4658.83
SO,432,Астраханская область,2014-09-07,21,194907.98
NK,442,Кабардино-Балкарская Республика,2013-18-05,16,3643.03
CE,430,Ивановская область,2010-24-12,9,85888.53
SB,445,Республика Бурятия,2012-05-02,6,62916.62
UR,447,Свердловская область,2014-03-12,16,2828.66
CE,431,Тверская область,2012-03-03,0,0.00
NK,443,Ставропольский край,2013-04-07,1,32432.64
SO,433,Республика Адыгея,2016-22-02,1,6298.52
NW,425,Ленинградская область,2012-02-11,2,9744.40
NW,426,Псковская область,2016-01-08,16,538708.97
NW,427,Псковская область,2014-16-07,8,68779.21
UR,448,Челябинская область,2014-20-11,8,362861.42
NW,428,Псковская область,2013-10-03,17,277190.49
FE,436,Амурская область,2010-01-04,20,174429.88
CE,432,Ивановская область,2015-07-01,6,20227.76
NK,444,Республика Северная Осетия,2014-09-12,27,527988.16
VG,458,Кировская область,2011-17-03,1,10462.40
SB,446,Кемеровская область,2016-28-07,30,385797.81
VG,459,Самарская область,2016-17-04,16,148093.73
UR,449,Ямало-Ненецкий автономный округ,2010-02-03,15,414339.97
VG,460,Нижегородская область,2016-02-03,25,1322591.89
NW,429,Архангельская область,2011-23-02,12,237932.63
NK,445,Республика Дагестан,2013-10-03,8,151017.87
SO,434,Волгоградская область,2016-08-06,11,268578.98
UR,450,Ханты-Мансийский автономный округ,2013-07-02,5,30662.23
SO,435,Республика Калмыкия,2010-23-08,8,17653.65
NK,446,Чеченская Республика,2013-16-08,31,561244.36
NW,430,Вологодская область,2012-30-11,14,93337.85
VG,461,Оренбургская область,2012-18-05,2,59834.46
SB,447,Иркутская область,2013-08-10,14,70985.48
VG,462,Нижегородская область,2015-17-10,13,98527.96
UR,451,Ханты-Мансийский автономный округ,2016-29-03,15,260741.00
NW,431,Псковская область,2014-16-12,6,134179.05
NW,432,Ленинградская область,2014-14-04,12,63394.86
VG,463,Республика Башкортостан,2010-01-05,16,104861.30
UR,452,Челябинская область,2014-11-08,1,20531.65
UR,453,Тюменская область,2011-16-08,2,8650.77
UR,454,Ямало-Ненецкий автономный округ,2013-18-12,7,199193.04
UR,455,Челябинская область,2015-22-12,15,273940.73
FE,437,Приморский край,2011-03-06,17,414748.08
FE,438,Сахалинская область,2010-15-06,9,240294.97
VG,464,Пермский край,2016-25-02,23,14745.12
FE,439,Сахалинская область,2015-14-03,15,318603.12
UR,456,Ханты-Мансийский автономный округ,2016-16-05,10,137289.81
NK,447,Кабардино-Балкарская Республика,2012-06-07,12,51536.26
VG,465,Республика Мордовия,2013-13-04,18,442238.61
FE,440,Магаданская область,2015-09-05,13,490720.68
NK,448,Чеченская Республика,2011-06-03,21,293729.48
NK,449,Республика Ингушетия,2016-22-05,11,86074.90
VG,466,Республика Башкортостан,2014-15-05,32,96419.33
NK,450,Республика Северная Осетия,2015-23-10,5,25570.26
SB,448,Забайкальский край,2016-15-02,6,158790.02
UR,457,Курганская область,2016-22-03,21,202290.90
SO,436,Республика Адыгея,2016-04-02,12,247254.27
NK,451,Чеченская Республика,2012-15-04,15,199901.93
CE,433,Владимирская область,2011-05-03,12,78382.71
VG,467,Чувашская Республика,2012-12-05,18,385986.30
NW,433,Республика Коми,2016-23-07,12,2098.08
